id,card_number,expiration_date,cvv
878,3589125976951408,2030-10,255
879,4715415574911,2025-02,346
880,3568718515740624,2025-01,712
881,3550852510278072,2027-04,425
882,5101014493599409,2030-11,408
883,560223576889859446,2025-05,703
884,5464662926649133,2030-06,481
885,5602231745163016,2025-05,693
886,3573750783886139,2026-02,607
887,4917780661322249,2026-05,187
888,201831172053626,2025-05,906
889,3574675497613215,2027-09,957
890,3531181299132506,2030-05,103
891,5002353650674534,2026-11,203
892,3555578615794557,2029-02,819
893,4917447892404291,2025-11,647
894,3568159730581503,2025-02,597
895,3552211667616360,2028-02,533
896,3555006584502090,2028-05,724
897,3571322334242444,2029-09,17
898,3572115607287370,2027-11,554
899,30182786470823,2026-04,339
900,6373610422075426,2029-12,137
901,3574228264736643,2028-04,167
902,6333773068799078,2028-04,962
903,6393683460465854,2030-09,10
904,201517314073131,2026-07,554
905,3562825818592374,2029-02,425
906,3585037930718969,2028-05,29
907,5235443855094593,2030-01,925
908,63041961397339955,2027-06,898
909,3567186594733608,2025-09,903
910,5602211428561504,2027-11,917
911,30288574884412,2026-02,975
912,4026767142728118,2030-03,208
913,3560261883122917,2027-06,120
914,3579510106138749,2028-04,945
915,3585554785715486,2025-01,104
916,3578222793458486,2026-08,953
917,5602239917328031683,2025-12,118
918,3540048594656183,2029-03,229
919,3530241609153666,2027-05,132
920,4017959653273334,2027-04,878
921,0604778273666512,2027-05,234
922,4508891313171788,2025-01,872
923,63045731232608690,2029-12,298
924,5533789420991112,2025-09,715
925,30025383261493,2026-04,134
926,3577555425983293,2029-02,199
927,6391512064820960,2029-01,562
928,5002350120486374,2027-12,718
929,201841608038794,2028-01,982
930,676728883417083091,2027-04,71
931,6393981879113846,2029-03,437
932,6709343879164973,2026-05,435
933,5602221432779810,2030-09,739
934,3537488264845143,2028-03,666
935,3569420765302929,2029-11,147
936,5100143983162518,2027-03,124
937,3546331981470010,2029-04,168
938,3572211294099200,2026-07,315
939,3563675070490505,2025-12,547
940,4026049671023082,2026-08,716
941,5641824114160903,2029-04,991
942,3587691712262824,2030-05,411
943,3537954062462902,2029-09,921
944,4017959021924,2028-11,968
945,4026379835692724,2024-12,108
946,6331108020599765,2025-08,339
947,4041370758678809,2029-03,620
948,5610855237568603,2026-05,363
949,5602258533122979,2029-05,287
950,4041594243176083,2028-07,375
951,3531160562637201,2025-05,808
952,3550899672112607,2027-11,152
953,3574918015318523,2028-12,754
954,6331109616976490,2029-02,721
955,372301895564559,2025-05,297
956,6373055577178601,2029-02,543
957,6373722694074696,2027-11,702
958,3559972000466051,2029-12,203
959,3538794669436480,2026-11,505
960,3560988196212106,2027-12,177
961,3581373378966768,2029-05,947
962,3531900491591148,2026-12,858
963,4508854357406411,2028-07,720
964,589370778228070541,2026-03,557
965,3543268897324399,2029-11,143
966,201444680863328,2027-07,507
967,3539383800337366,2028-06,551
968,3564092446677956,2027-11,910
969,3537505365077290,2030-05,999
970,3552467565226237,2026-09,767
971,4911893475656904,2028-07,603
972,3546754407298832,2025-03,365
973,6767791163685104,2027-05,363
974,3528061012057096,2028-03,473
975,490559912437557576,2026-02,216
976,3542288933873036,2027-05,16
977,3541195280523117,2029-05,620
978,3539180258558273,2025-02,192
979,5002355562331434,2026-07,669
980,4936873594869053725,2030-08,739
981,3530082833986210,2029-01,190
982,3547602673369762,2026-01,154
983,633325165273158797,2026-05,252
984,676387484766722777,2025-06,858
985,560222261041982722,2029-02,979
986,5566246687575278,2028-06,850
987,374283680594363,2027-11,958
988,5513165888442993,2028-05,310
989,3556686602078758,2026-10,457
990,5602259693978614,2024-11,511
991,5108754369091774,2026-06,596
992,3547872627278324,2026-12,462
993,3577636063476988,2027-08,510
994,4844869553176314,2027-04,299
995,633443046141280749,2028-10,306
996,3562705282980372,2030-02,919
997,3567677567362847,2025-10,731
998,4508551012306511,2025-07,148
999,3540003192487705,2030-08,957
1000,3532945956532961,2025-03,830
